Sample ID,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,Modality (CV),Method (CV),Technique (CV),Anatomical Structure (CV),Total Processed Cells,Organization (CV),Lab,Investigator,Grant Number (CV),R24 Name (CV),R24 Directory,Comments
515277647,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515277653,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,23,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515277997,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515278291,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515388228,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,18,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515389833,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,18,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
515389846,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,19,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354506,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,19,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354510,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,7,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354514,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,21,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354519,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354683,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,18,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516354866,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,29,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516355127,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,17,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516355430,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,9,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516355524,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,23,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516355765,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,7,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377066,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,23,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377121,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377170,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377277,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,22,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377612,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377718,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516377944,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,24,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516378033,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,21,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516395472,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,28,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516395507,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,28,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516395538,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,49,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516395566,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,41,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516395572,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,38,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587047,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,48,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587203,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,11,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587351,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,53,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587389,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,20,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587507,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,22,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516587521,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,4,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516907735,mouse,NCBI:txid10090,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,14,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516907740,mouse,NCBI:txid10090,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs1,9,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516907749,mouse,NCBI:txid10090,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,14,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
516907757,mouse,NCBI:txid10090,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,41,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105729,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,15,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105736,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,15,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105739,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,10,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105771,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,5,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105881,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,8,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105888,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp1,18,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517105891,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,7,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645451,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,48,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645454,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,36,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645458,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,17,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645462,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs1,7,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645465,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,4,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517645469,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,5,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517650506,mouse,NCBI:txid10090,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5;VISp6,5,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517656980,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs1,48,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517656984,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,23,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517657092,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,47,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517657161,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,25,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517657172,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,43,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517657281,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,15,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
517657378,mouse,NCBI:txid10090,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,36,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322155,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,1,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322177,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,6,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322594,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,4,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322621,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,6,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322818,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,2,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518322868,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,2,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754438,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp5,56,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754463,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,56,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754472,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp2/3,56,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754475,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp4,55,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754478,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,55,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518754483,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,VISp6,55,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518968022,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,10,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518968178,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,12,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518968413,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,5,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
518968685,mouse,NCBI:txid10090,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,5,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519458940,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,16,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519459161,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,55,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519459165,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,49,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519459168,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,14,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519459171,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,32,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519459174,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,16,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519769867,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,31,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519769884,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,47,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519769900,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,16,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519770168,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,25,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519770178,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,19,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
519770183,mouse,NCBI:txid10090,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,47,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027510,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,33,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027584,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,51,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027589,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,39,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027592,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,40,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027595,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,39,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520027598,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,6,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271426,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs1,6,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271434,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs2/3,40,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271441,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,14,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271446,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,15,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271455,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs5,6,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520271462,mouse,NCBI:txid10090,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,8,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520311483,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,45,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
520311913,mouse,NCBI:txid10090,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,Transcriptomics,scRNA-Seq,SMART-seq,MOs6,14,Allen Institute for Brain Science,Zeng_U19,Hongkui Zeng,1-U19-MH114830-01,NeMO,,
