Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),R24 Name (CV),R24 link,Metadata Submission,Data Collection (CV),Project (CV)
1059289154,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289184,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289189,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289236,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289323,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289328,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289473,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059290297,Mouse,NCBI:txid10090,297974,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_297974-17109,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283465,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284378,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286270,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286390,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059288178,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059289972,Mouse,NCBI:txid10090,314107,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_314107-17300,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059281753,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059281784,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059281800,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059281873,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059281916,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282001,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282101,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282266,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282462,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282544,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282840,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059282881,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283115,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283132,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283370,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283630,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283743,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283794,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059283899,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284120,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284182,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284285,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284290,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284537,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284572,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284629,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284649,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284789,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284882,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284938,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284974,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059284984,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285015,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285047,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285134,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285343,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285466,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285472,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285512,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285605,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285780,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285821,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285913,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059285939,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286122,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286254,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286275,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286307,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286480,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286562,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286594,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286688,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
1059286838,Mouse,NCBI:txid10090,321237,Tnnt1-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),,fMOST,Brain,cells,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/cells/mouseID_321237-17302,2020Q4,zeng_fmost_cells,zeng_fmost_proj
