sample_id,sample_type,donor_id,legacy_id,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,experiment_id,sample_id,modality,method,technique,modality.method.technique,Anatomical Structure (CV),Total Processed Cells,Organization (CV),organization,team_name,investigator,grant_number,data_archive,Public R24 directory,Public R24 file path,file_location,Desired ID,,BIL legacy.ID,legacy_id,legacy_modality,legacy_method,legacy_technique,Release,,,,,,,
Ctgf-T2A-dgCre;Ai75-375433,,,Ctgf-T2A-dgCre;Ai75-375433,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Chat';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811//cb/4a/,,/bil/data/cb/4a/cb4a12d91e1927ca/Ctgf-T2A_Ai75_F_375433_180924/,,,Ctgf-T2A_Ai75_F_375433,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Ctgf-T2A-dgCre;Ai75-375434,,,Ctgf-T2A-dgCre;Ai75-375434,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Chat';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/a1/2e/,ftp://download.brainimagelibrary.org:8811/a1/2e/a12e6e47524f366a/Ctgf-T2A_Ai75_F_375434_180925/,/bil/data/a1/2e/a12e6e47524f366a/Ctgf-T2A_Ai75_F_375434_180925/,,,Ctgf-T2A_Ai75_F_375434,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Ctgf-T2A-dgCre;Ai75-375437,,,Ctgf-T2A-dgCre;Ai75-375437,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Chat';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/e7/86/,ftp://download.brainimagelibrary.org:8811/e7/86/e786b90382bbb613/Ctgf-T2A_Ai75_F_375437_180923/,/bil/data/e7/86/e786b90382bbb613/Ctgf-T2A_Ai75_F_375437_180923/,,,Ctgf-T2A_Ai75_F_375437,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Ctgf-T2A-dgCre;Ai75-395409,,,Ctgf-T2A-dgCre;Ai75-395409,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Chat';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/dd/4f/,ftp://download.brainimagelibrary.org:8811/dd/4f/dd4fe0791ac398d4/Ctgf-T2A_Ai75_M_395409_180928/,/bil/data/dd/4f/dd4fe0791ac398d4/Ctgf-T2A_Ai75_M_395409_180928/,,,Ctgf-T2A_Ai75_M_395409,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Ctgf-T2A-dgCre;Ai75-395411,,,Ctgf-T2A-dgCre;Ai75-395411,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Chat';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/82/30/,ftp://download.brainimagelibrary.org:8811/82/30/823042f0d6e44613/Ctgf-T2A_Ai75_M_395411_180927/,/bil/data/82/30/823042f0d6e44613/Ctgf-T2A_Ai75_M_395411_180927/,,,Ctgf-T2A_Ai75_M_395411,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2_Ai75_F_320741_170604,whole brain,Cux2_Ai75_F_320741_170604,Cux2_Ai75_F_320741_170604,mouse,NCBI:txid10097,,biccn:experiments:1675,Cux2_Ai75_F_320741_170604,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320741_170604,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320741_170604,,,Cux2_Ai75_F_320741,Cux2_Ai75_F_320741_170604,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_F_320743_170605,whole brain,Cux2_Ai75_F_320743_170605,Cux2_Ai75_F_320743_170605,mouse,NCBI:txid10098,,biccn:experiments:1676,Cux2_Ai75_F_320743_170605,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320743_170605,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320743_170605,,,Cux2_Ai75_F_320743,Cux2_Ai75_F_320743_170605,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_F_320745_170607,whole brain,Cux2_Ai75_F_320745_170607,Cux2_Ai75_F_320745_170607,mouse,NCBI:txid10099,,biccn:experiments:1677,Cux2_Ai75_F_320745_170607,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320745_170607,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_F_320745_170607,,,Cux2_Ai75_F_320745,Cux2_Ai75_F_320745_170607,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_M_307671_170509,whole brain,Cux2_Ai75_M_307671_170509,Cux2_Ai75_M_307671_170509,mouse,NCBI:txid10100,,biccn:experiments:1678,Cux2_Ai75_M_307671_170509,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_307671_170509,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_307671_170509,,,Cux2_Ai75_M_307671,Cux2_Ai75_M_307671_170509,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_M_327092_170922,whole brain,Cux2_Ai75_M_327092_170922,Cux2_Ai75_M_327092_170922,mouse,NCBI:txid10101,,biccn:experiments:1679,Cux2_Ai75_M_327092_170922,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327092_170922,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327092_170922,,,Cux2_Ai75_M_327092,Cux2_Ai75_M_327092_170922,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_M_327096_170922,whole brain,Cux2_Ai75_M_327096_170922,Cux2_Ai75_M_327096_170922,mouse,NCBI:txid10102,,biccn:experiments:1680,Cux2_Ai75_M_327096_170922,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327096_170922,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327096_170922,,,Cux2_Ai75_M_327096,Cux2_Ai75_M_327096_170922,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2_Ai75_M_327097_170925,whole brain,Cux2_Ai75_M_327097_170925,Cux2_Ai75_M_327097_170925,mouse,NCBI:txid10103,,biccn:experiments:1681,Cux2_Ai75_M_327097_170925,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327097_170925,dxc.psc.edu:/crucible/brain/biccndc/mnt/ostenmitragrid/rpalanis/osten-U01/Batch2transfers-180321/Cux2_Ai75_M_327097_170925,,,Cux2_Ai75_M_327097,Cux2_Ai75_M_327097_170925,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Cux2-CreERT2;Ai75-349423,,,Cux2-CreERT2;Ai75-349423,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f3/fe/,"ftp://download.brainimagelibrary.org:8811/f3/fe/f3fe697cfb89762e
ftp://download.brainimagelibrary.org:8811/72/f3/72f3f3e249a07462
ftp://download.brainimagelibrary.org:8811/4d/6c/4d6ccd17bd266fe5
ftp://download.brainimagelibrary.org:8811/85/3a/
ftp://download.brainimagelibrary.org:8811/ac/1d/
ftp://download.brainimagelibrary.org:8811/1f/17/
ftp://download.brainimagelibrary.org:8811//2a/d8/
ftp://download.brainimagelibrary.org:8811//8e/c3/
ftp://download.brainimagelibrary.org:8811//cb/4a/
ftp://download.brainimagelibrary.org:8811/a1/2e/
ftp://download.brainimagelibrary.org:8811/e7/86/
ftp://download.brainimagelibrary.org:8811/dd/4f/
ftp://download.brainimagelibrary.org:8811/82/30/


",/bil/data/dd/c8/ddc816606f4b6046/Cux2_Ai75_F_349523_180907/,,,Cux2_Ai75_F_349523,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-364510,,,Cux2-CreERT2;Ai75-364510,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/68/fe/,ftp://download.brainimagelibrary.org:8811/68/fe/68fecf0636c4d0fa/Cux2_Ai75_M_364510_180905/,/bil/data/68/fe/68fecf0636c4d0fa/Cux2_Ai75_M_364510_180905/,,,Cux2_Ai75_M_364510,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-364511,,,Cux2-CreERT2;Ai75-364511,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/04/48/,ftp://download.brainimagelibrary.org:8811/04/48/0448f8419bdf14ca/Cux2_Ai75_F_364511_180912/,/bil/data/04/48/0448f8419bdf14ca/Cux2_Ai75_F_364511_180912/,,,Cux2_Ai75_F_364511,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-384007,,,Cux2-CreERT2;Ai75-384007,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/3e/26/,ftp://download.brainimagelibrary.org:8811/3e/26/3e26a9fabdc4d9cc/Cux2_Ai75_M_384007_180830/,/bil/data/3e/26/3e26a9fabdc4d9cc/Cux2_Ai75_M_384007_180830/,,,Cux2_Ai75_M_384007,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-384010,,,Cux2-CreERT2;Ai75-384010,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/3c/77/,ftp://download.brainimagelibrary.org:8811/3c/77/3c773e45dbc383c2/Cux2_Ai75_M_384010_180904/,/bil/data/3c/77/3c773e45dbc383c2/Cux2_Ai75_M_384010_180904/,,,Cux2_Ai75_M_384010,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-384013,,,Cux2-CreERT2;Ai75-384013,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/4d/7b/,ftp://download.brainimagelibrary.org:8811/4d/7b/4d7b8d07bff6f4ea/Cux2_Ai75_F_384013_180911/,/bil/data/4d/7b/4d7b8d07bff6f4ea/Cux2_Ai75_F_384013_180911/,,,Cux2_Ai75_F_384013,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Cux2-CreERT2;Ai75-384014,,,Cux2-CreERT2;Ai75-384014,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Cux2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/b2/d1/,ftp://download.brainimagelibrary.org:8811/b2/d1/b2d16c37f27471a6/Cux2_Ai75_F_384014_180831/,/bil/data/b2/d1/b2d16c37f27471a6/Cux2_Ai75_F_384014_180831/,,,Cux2_Ai75_F_384014,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343519,,,Emx1-IRES-Cre;Ai75-343519,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/83/8b/,ftp://download.brainimagelibrary.org:8811/83/8b/838b182ffb0bc7da/Emx1_Ai75_M_343524_180711/,/bil/data/51/db/51dbc47f8a053d0d/Emx1_Ai75_M_343519_171114/,,,Emx1_Ai75_M_343519,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343520,,,Emx1-IRES-Cre;Ai75-343520,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/14/78/,ftp://download.brainimagelibrary.org:8811/14/78/14789f6dcfd06d11/Emx1_Ai75_M_343525_180809/,/bil/data/97/8e/978ef02decca3f85/Emx1_Ai75_M_343520_180808/,,,Emx1_Ai75_M_343520,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343521,,,Emx1-IRES-Cre;Ai75-343521,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/f6/f3/,ftp://download.brainimagelibrary.org:8811/f6/f3/f6f3221dc257f609/Emx1_Ai75_F_343526_180712/,/bil/data/99/d3/99d3c70b0d71c10a/Emx1_Ai75_M_343521_180821/,,,Emx1_Ai75_M_343521,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343524,,,Emx1-IRES-Cre;Ai75-343524,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/23/c8/,ftp://download.brainimagelibrary.org:8811/23/c8/23c8e0b2fe2518e5/Emx1_Ai75_F_347535_180804/,/bil/data/83/8b/838b182ffb0bc7da/Emx1_Ai75_M_343524_180711/,,,Emx1_Ai75_M_343524,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343525,,,Emx1-IRES-Cre;Ai75-343525,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/a6/1c/,ftp://download.brainimagelibrary.org:8811/a6/1c/a61cb5911c96fc1b/Emx1_Ai75_F_347536_180713/,/bil/data/14/78/14789f6dcfd06d11/Emx1_Ai75_M_343525_180809/,,,Emx1_Ai75_M_343525,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-343526,,,Emx1-IRES-Cre;Ai75-343526,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/aa/f1/,ftp://download.brainimagelibrary.org:8811/aa/f1/aaf18fce010d9de9/Emx1_Ai75_F_347537_180805/,/bil/data/f6/f3/f6f3221dc257f609/Emx1_Ai75_F_343526_180712/,,,Emx1_Ai75_F_343526,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-347535,,,Emx1-IRES-Cre;Ai75-347535,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/bd/19/,ftp://download.brainimagelibrary.org:8811/bd/19/bd19ac18b26f0b1d/Emx1_Ai75_F_348189_180822/,/bil/data/23/c8/23c8e0b2fe2518e5/Emx1_Ai75_F_347535_180804/,,,Emx1_Ai75_F_347535,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-347536,,,Emx1-IRES-Cre;Ai75-347536,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/a6/1c/,ftp://download.brainimagelibrary.org:8811/a6/1c/a61cb5911c96fc1b/Emx1_Ai75_F_347536_180713/,/bil/data/a6/1c/a61cb5911c96fc1b/Emx1_Ai75_F_347536_180713/,,,Emx1_Ai75_F_347536,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-347537,,,Emx1-IRES-Cre;Ai75-347537,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/aa/f1/,ftp://download.brainimagelibrary.org:8811/aa/f1/aaf18fce010d9de9/Emx1_Ai75_F_347537_180805/,/bil/data/aa/f1/aaf18fce010d9de9/Emx1_Ai75_F_347537_180805/,,,Emx1_Ai75_F_347537,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Emx1-IRES-Cre;Ai75-348189,,,Emx1-IRES-Cre;Ai75-348189,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Emx1';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811/bd/19/,ftp://download.brainimagelibrary.org:8811/bd/19/bd19ac18b26f0b1d/Emx1_Ai75_F_348189_180822/,/bil/data/bd/19/bd19ac18b26f0b1d/Emx1_Ai75_F_348189_180822/,,,Emx1_Ai75_F_348189,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Gad2-IRES-Cre;Ai75-335960,whole brain,Gad2-IRES-Cre;Ai75-335960,Gad2-IRES-Cre;Ai75-335960,mouse,NCBI:txid10090,,biccn:experiments:1639,Gad2-IRES-Cre;Ai75-335960,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,#REF!,ftp://download.brainimagelibrary.org:8811/4d/6c/4d6ccd17bd266fe5/Gad2_Ai75_M_335960_171003,./biccndc/Gad2_Ai75_M_335960_171003,,,Gad2_Ai75_M_335960,Gad2-IRES-Cre;Ai75-335960,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Gad2-IRES-Cre;Ai75-349252,whole brain,Gad2-IRES-Cre;Ai75-349252,Gad2-IRES-Cre;Ai75-349252,mouse,NCBI:txid10090,,biccn:experiments:1640,Gad2-IRES-Cre;Ai75-349252,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,#REF!,ftp://download.brainimagelibrary.org:8811/4d/6c/4d6ccd17bd266fe5/Gad2_Ai75_M_349252_180215,./biccndc/Gad2_Ai75_M_349252_180215,,,Gad2_Ai75_M_349252,Gad2-IRES-Cre;Ai75-349252,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Gad2-IRES-Cre;Ai75-349254,whole brain,Gad2-IRES-Cre;Ai75-349254,Gad2-IRES-Cre;Ai75-349254,mouse,NCBI:txid10090,,biccn:experiments:1641,Gad2-IRES-Cre;Ai75-349254,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,#REF!,ftp://download.brainimagelibrary.org:8811/4d/6c/4d6ccd17bd266fe5/Gad2_Ai75_M_349254_180217,./biccndc/Gad2_Ai75_M_349254_180217,,,Gad2_Ai75_M_349254,Gad2-IRES-Cre;Ai75-349254,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Gad2-IRES-Cre;Ai75-349259,whole brain,Gad2-IRES-Cre;Ai75-349259,Gad2-IRES-Cre;Ai75-349259,mouse,NCBI:txid10090,,biccn:experiments:1638,Gad2-IRES-Cre;Ai75-349259,cell counting,imaging,STPT,cell counting.imaging.STPT,,#N/A,,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,#REF!,ftp://download.brainimagelibrary.org:8811/4d/6c/4d6ccd17bd266fe5/Gad2_Ai75_F_349259_180218,./biccndc/Gad2_Ai75_F_349259_180218,,,Gad2_Ai75_F_349259,Gad2-IRES-Cre;Ai75-349259,Cell Counting,cell type distribution,STPT,Q3 2018,,,,,,,
Gad2-IRES-Cre;Ai75-374108,,,Gad2-IRES-Cre;Ai75-374108,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Gad2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811,,/bil/data/99/be/99beb3e1bccfb186/Gad2_Ai75_M_374108_180629/,,,Gad2_Ai75_M_374108,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Gad2-IRES-Cre;Ai75-374110,,,Gad2-IRES-Cre;Ai75-374110,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Gad2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811,,/bil/data/a6/90/a6902e94e494bff9/Gad2_Ai75_M_374110_180702/,,,Gad2_Ai75_M_374110,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Gad2-IRES-Cre;Ai75-383580,,,Gad2-IRES-Cre;Ai75-383580,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Gad2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811,,/bil/data/d8/32/d83219b96040420c/Gad2_Ai75_F_383580_180701/,,,Gad2_Ai75_F_383580,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
Gad2-IRES-Cre;Ai75-393131,,,Gad2-IRES-Cre;Ai75-393131,mouse,NCBI:txid10090,Strain_Name='C57BL6';Cre_Driver_Line='Gad2';Reporter_Name='Ai75';,,,cell counting,imaging,STPT,cell counting.imaging.STPT,Whole brain,,Cold Spring Harbor Laboratory,,U01 Osten,Pavel Osten,1-U01-MH114824-01,BIL,ftp://download.brainimagelibrary.org:8811,,/bil/data/42/43/42431435aa2e2979/Gad2_Ai75_F_393131_181005/,,,Gad2_Ai75_F_393131,,Cell Counting,cell type distribution,STPT,Q4 2018,,,,,,,
