190618_JH_HK0165_Tle4LSLflp_MOs_M2_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOs,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190620_JH_HK0166_Tle4LSLflp_SSp_FRT_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190624_JH_HK0168_PlexinD1LSLflp_VLSl_V2L_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,VLSl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190625_JH_HK0169_PlexinD1LSLflp_SSs_S2_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSs,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190626_JH_HK0172_Fezf2LSLflp_VLSl_V2L_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,VLSl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190628_JH_HK0178_Fezf2LSLflp_VISa_parietal_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,ORBm,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190702_JH_HK0181_PlexinD1LSLflp_MOp_RFO_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190708_JH_HK0182_PlexinD1LSLflp_SSp_CFO_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190710_JH_HK0187_Fezf2LSLflp_ACAv_cingulate_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,ACAv,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190717_JH_HK0191_PlexinD1LSLflp_PERI_perirhinal_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,PERl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190718_JH_HK0192_PlexinD1LSLflp_PERI_perirhinal_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,PERl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190720_JH_HK0194_PlexinD1LSLflp_MOp_CFA_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190723_JH_HK0195_FoxP2_MOp_RFO_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190724_JH_HK0196_FoxP2_SSp_CFO_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190805_JH_HK0199_PlexinD1LSLflp_MOp_FRT_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190806_JH_HK0200_PlexinD1LSLflp_SSp_S1hindlimb_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,SSp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190809_JH_HK0202_PlexinD1LSLflp_MOp_RFO_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190812_JH_HK0204_Fezf2LSLflp_ORBl_VLO_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,ORBl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190820_JH_HK0207_Fezf2LSLflp_ENTl_entorhinal_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,ENTl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190823_JH_HK0208_PlexinD1LSLflp_PL_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,PL,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190826_JH_HK0209_Fezf2LSLflp_PL_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,PL,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190827_JH_HK0213_PlexinD1LSLflp_MOs_RFA_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOs,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190829_JH_HK0214_PlexinD1LSLflp_MOs_CFA_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190903_JH_WG0006_Fezf2LSLflp_MOp_CFA_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp ul,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190904_JH_WG0007_Fezf2LSLflp_MOp_CFA_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp ul,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190905_JH_WG0008_Fezf2LSLflp_MOp_CFA_male,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,MOp ul,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
190906_JH_HK0215_Tle4LSLflp_VLSl_V2L_female,mouse,NCBI:txid10090,,,connectivity,anterograde tracing,VLSl,brains,1,Cold Spring Harbor Laboratory,Z. Josh Huang,1U19MH114821-01,huang_stpt_conn,BIL,,,2019Q3,,,,,,,,,,
pBICCNsMMrAUDi7167173Td180614a,mouse,NCBI:txid10090,MD716_717,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,7758,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q3,,,,,,,,,,
pBICCNsMMrAUDi7167173Td180614b,mouse,NCBI:txid10090,MD716_717,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,6161,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q3,,,,,,,,,,
pBICCNsMMrAUDi7167174Bd180613a,mouse,NCBI:txid10090,MD716_717,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,5364,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q3,,,,,,,,,,
pBICCNsMMrAUDi7207213Td180627,mouse,NCBI:txid10090,MD720_721,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,9099,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q3,,,,,,,,,,
pBICCNsMMrAUDi7207214Bd180715a,mouse,NCBI:txid10090,MD720_721,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,"9,607",Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrAUDi7207214Bd180715b,mouse,NCBI:txid10090,MD720_721,,transcriptomics,10x Chromium 3' v2 sequencing,AUD,nuclei,7350,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi1Fd180717,mouse,NCBI:txid10090,F001,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,5104,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi1Md180717a,mouse,NCBI:txid10090,M001,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,5672,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi1Md180717b,mouse,NCBI:txid10090,M001,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,6063,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi2Fd180717a,mouse,NCBI:txid10090,F002,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,9157,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi2Fd180717b,mouse,NCBI:txid10090,F002,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,8934,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi2Md180717,mouse,NCBI:txid10090,M002,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,5729,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi3Fd180717,mouse,NCBI:txid10090,F003,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,6564,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi3Md180717a,mouse,NCBI:txid10090,M003,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,5497,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBNSTi3Md180717b,mouse,NCBI:txid10090,M003,,transcriptomics,10x Chromium 3' v2 sequencing,BST,nuclei,5380,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv2,NeMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2018Q4,,,,,,,,,,
pBICCNsMMrBrainstemai2md190402,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem M2,nuclei,1316,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBrainstemai8md190402,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem M8,nuclei,10981,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL1aiM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,7432,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL1biM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,8770,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL1iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,12401,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL1iF006d190514,mouse,NCBI:txid10090,F006,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,5612,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL1iM008d190717,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,5455,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL1iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L1,nuclei,9537,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL2iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L2,nuclei,3938,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL2iM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L2,nuclei,8654,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL2iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L2,nuclei,11057,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL3iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L3,nuclei,13248,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL3iF006d190514,mouse,NCBI:txid10090,F006,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L3,nuclei,13432,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL3iM008d190717,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L3,nuclei,6384,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL3iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L3,nuclei,12471,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL4iM008d190717,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L4,nuclei,9040,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL4iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L4,nuclei,8810,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL5iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L5,nuclei,12356,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL5iF006d190514,mouse,NCBI:txid10090,F006,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L5,nuclei,15454,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL5iM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L5,nuclei,8710,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL5iM008d190717,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L5,nuclei,10998,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL5iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L5,nuclei,11078,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL6iF005d190710,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L6,nuclei,10167,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL6iM008d190722,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L6,nuclei,9961,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL6iM009d190722,mouse,NCBI:txid10090,M009,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L6,nuclei,9170,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL7iF005d190521,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L7,nuclei,12682,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q2,,,,,,,,,,
pBICCNsMMrBSL7iF005d190710,mouse,NCBI:txid10090,F005,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L7,nuclei,10976,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL7iM007d190529,mouse,NCBI:txid10090,M007,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L7,nuclei,4671,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
pBICCNsMMrBSL7iM008d190722,mouse,NCBI:txid10090,M008,,transcriptomics,10x Chromium 3' v3 sequencing,Brain Stem L7,nuclei,9026,Cold Spring Harbor Laboratory; Broad Institute,Aviv Regev; Evan Macosko,1U19MH114821-01,huang_sn_10xv3,NEMO,"{http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/, http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/}",,2019Q3,,,,,,,,,,
