Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
CEMBA180409-1_Vf11B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180409-1_Vf12B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180409-1_Vf6B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180410-1_Rf11B,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180410-1_Vm11B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180417-1_Rm11B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180417-1_Rm12B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180419-1_Cf3C,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180420-1_Cf11B,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180420-1_Cf6B,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180423-1_Rm10C,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180423-1_Rm9D,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180423-1_Vm10C,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180423-1_Vm9D,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180424-1_Rf9D,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180424-1_Vf9D,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180426-1_Cf9D,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180430-1_Cf9A,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180430-1_Rm9A,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180501-1_Rf10A,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180501-1_Rf9A,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180503-1_Vf9A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180503-1_Vm10A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180503-1_Vm9A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180507-1_Rm9B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180507-1_Vf9B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180507-1_Vm9B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180508-1_Rm3D,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180508-1_Rm4A,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180508-1_Rm5A,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180510-1_Rf4A,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180514-1_Vf4A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180514-1_Vm4A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180529-1_Bf7G8G,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MH;LD;MD;PO;PCN;SMT,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180529-1_Vm5A,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180531-1_Cf7G8G,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MH;LD;MD;PO;PCN;SMT,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180531-1_Cm7G8G,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MH;LD;MD;PO;PCN;SMT,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180607-1_Bm7G8G,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MH;LD;MD;PO;PCN;SMT,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Bf7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Bm7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Cf7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA180327_C5;CEMBA180327_C6,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Cm7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Pf7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180611-1_Pm7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180612-1_Bm9K10G,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B3,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,LP;SGN;LGd;PoT;SPFp;LGv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180612-1_Vf7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180612-1_Vm7E8F,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RT;VPM;VM;VAL,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180614-1_Cm9K10G,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,LP;SGN;LGd;PoT;SPFp;LGv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180618-1_Pm9K10G,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,LP;SGN;LGd;PoT;SPFp;LGv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180619-1_Vm9K10G,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,LP;SGN;LGd;PoT;SPFp;LGv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180620-1_Vm11G12F13C,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SCs;SCm,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180806-1_Rm11G12F13C,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SCs;SCm,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180806-1_Rm4H5H6F7F,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,GPe;GPi,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180813-1_Pm6F7F,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,GPe;GPi,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180814-1_Vm4H5H6F7F,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,GPe;GPi,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180820-1_Pf8E9H,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,CA1;CA2;CA3,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180820-1_Pm10D11D12D13B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ENTl,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180820-1_Pm8E9H,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,CA1;CA2;CA3,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180821-1_Pf10E11E,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,CA1;CA2;CA3,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180821-1_Pm10E11E,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,CA1;CA2;CA3,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180821-1_Pm8J9J,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,DG,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180823-1_Pf8J9J,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,DG,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180823-1_Pm10F11F,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,DG,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180828-1_Pf2D3E4F5G,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,PIR,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180828-1_Pm2D3E4F5G,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,PIR,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180828-1_Pm6D7D8D9E,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,PIR,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
