project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
huang_macosko_sn_10xv3_proj,Transcriptomic cell types in the mouse brain: 10x nuclei,10x 3' v3 sequencing,"The Macosko Lab has created a comprehensive atlas of cell types across the entire mouse brain using an optimized protocol for nuclear isolation, and sequencing with the 10x Chromium 3' v3 system.",data collection project,,"Dataset: Chuck Vanderburg, Evan Macosko, Jonah Langlieb, Katelyn Flowers, Timothy Tickle, Velina Kozareva (2022) Transcriptomic cell types in the mouse brain: single nucleus profiling of cell types using 10X v3 [Dataset]. Available from https://assets.nemoarchive.org/dat-svco5za.",
huang_pn_proj,Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex,Projection Neurons,"Our goal is to create a high-resolution atlas of projection neurons in the mouse cortex using large scale single cell transcriptomic analysis across cortical regions.  CRE-driver lines targeting major cortical projection neuron subtypes and crossed to the Sun1-GFP nuclear reporter mouse line (C57 background) were used.  Samples representiung different cortical regions were dissected at p56. Individual nuclei were dissociated, sorted based on GFP labeling, and processed for single nuclei RNA sequencing using 10X Chromium V2. All regions sampled were obtained from both brain hemispheres in male and female mice. ",data collection project,,"Dataset: Chiara Gerhardinger, Ehsan Habibi, Juliana Brown, Paola Arlotta, Aviv Regev (2020)  Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex: Bulk nuclei SSv4 [Dataset]. Available from https://assets.nemoarchive.org/dat-s82jegu. | Dataset: Chiara Gerhardinger, Ehsan Habibi, Juliana Brown, Paola Arlotta, Aviv Regev (2020) Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex: 10x v2 [Dataset]. Available from https://assets.nemoarchive.org/dat-mq52tet. | Dataset: Chiara Gerhardinger, Ehsan Habibi, Juliana Brown, Paola Arlotta, Aviv Regev (2021)  Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex: 10x v3 [Dataset]. Available from https://assets.nemoarchive.org/dat-pe2ejct.",
huang_retro_proj,Quadruple retrograde pathway tracing,Quadruple retrograde,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, four retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
huang_sn_10xv2_proj,Transcriptomic cell types in the mouse brain: 10x nuclei,10x 3' v2 sequencing,Our goal is to create a high quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. C57 wild-type mice at p60 were used.,data collection project,,"Dataset: Aviv Regev, Chuck Vanderburg, Evan Macosko, Jonah Langlieb, Timothy Tickle, Velina Kozareva (2019) Transcriptomic cell types in the mouse brain: single nucleus profiling of cell types using 10X v2 [Dataset]. Available from https://assets.nemoarchive.org/dat-vutwbqm.",
huang_stpt_conn_proj,Cre-dependent anterograde tracing in the forebrain,Anterograde tracing,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.,data collection project,,,
huang_stpt_count_proj,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.,data collection project,,,
human_cortex,Human Multiple Cortical Areas - SMART-seq,Human CTX SSv4,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia. NOTE: This project contains a mixture of datasets generated under different funding sources and associated with different access restrictions and licenses. Please refer to the description of the data collection to identify which license is applicable.",data collection project,,Dataset: Allen Institute for Brain Science (2021). Allen Cell Types Database -- Human Multiple Cortical Areas [dataset]. Available from celltypes.brain-map.org/rnaseq.,
HumanM110xProj,Transcriptomic characterization of cell types in human M1 using droplet-based single nucleus RNA sequencing,Human M1 10x,"To investigate the cellular diversity of the human cortex, we used 10x Genomics Chromium v3 single nucleus RNA-sequencing technology to perform a survey of the cell types in human primary motor cortex. Nuclei were sampled from 2 postmortem donor brains and dissociated nuclei were labeled using an antibody against the neuronal marker NeuN to facilitate enrichment for neurons using fluorescence-activated cell sorting (FACS). Profiled nuclei included approximately 90% neurons and 10% glia.",data collection project,,"Allen Institute for Brain Science (2020). Allen Cell Types Database -- Human M1 -- 10x Genomics [dataset]. Available from celltypes.brain-map.org/rnaseq. Primary publication: Bakken, T. E., Jorstad, N. L., Hu, Q., et al. (2021). Comparative cellular analysis of motor cortex in human, marmoset and mouse. Nature, 598(7879), 111-119. https://doi.org/10.1038/s41586-021-03465-8",
HumanPSeqL23Proj,Glutamatergic Neuron Types in Layer 2 and Layer 3 of the Human Cortex,Human PatchSeq L2/3,"Neurons can be classified on the basis of structural, physiological and/or genetic attributes. Using a method called Patch-seq, the electrophysiological, morphological, and transcriptomic features of individual cells can be simultaneously obtained. We characterized the morphological and physiological properties of five transcriptomically-defined human glutamatergic supragranular neuron types. Three of these types have properties that are specialized as compared to the more homogeneous properties of transcriptomically defined homologous mouse neuron types. The two remaining supragranular neuron types, located exclusively in deep layer 3, do not have clear mouse homologues in supragranular cortex but are transcriptionally most similar to deep layer mouse intratelencephalic-projecting neuron types.",data collection project,,"Dataset: Allen Institute for Brain Science (2020). Allen Cell Types Database -- Human Patch-seq [dataset]. Available from brain-map.org/explore/classes/multimodal-characterization. Primary publications: Berg, J., Sorensen, S. A., Ting, J. T., Miller, J. A., et al. (2020). Human cortical expansion involves diversification and specialization of supragranular intratelencephalic-projecting neurons. bioRxiv, 2020.03.31.018820. https://doi.org/10.1101/2020.03.31.018820 | Patch-seq protocol: Lee, B. R., Budzillo, A., et al. (2021). Scaled, high fidelity electrophysiological, morphological, and transcriptomic cell characterization. eLife, 2021;10:e65482. https://doi.org/10.7554/eLife.65482",
kriegstein_sc_10x_proj,Single-Cell Sequencing of the Developing Human Brain,10x 3' v2 and v3 sequencing,"The human brain is composed of diverse cell types across brain regions that enable unique capabilities. Within the brain, the cerebral cortex is responsible for a number of cognitive functions and sensory integration, with distinct cortical regions controlling a variety of tasks including motion, vision, speech, and judgment. Recent work exploring the cell types of two distinct cortical regions in the human and mouse suggests that excitatory neurons are area specific and emerge during developmental stages of peak neurogenesis. However, further characterization of cortical arealization is required to understand whether gradients, sharp boundaries, or some combination of patterns describes the areal distribution of neurons and other cortical cell types. Importantly, accurate modeling of cortical development and understanding biological constraints for any attempts at stem cell therapies requires characterizing when neuroepithelia or radial glia transition from a uniform population into areal specific progenitors, and the degree to which they are committed to an areal fate. In order to comprehensively characterize the areal diversity of cell types during human development, we performed single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples. With over a million cells, we identify hundreds of cells types including temporal and area specific neurons, interneurons and radial glia populations, as well as a number of subtypes from each of these classes that are expressed across most cortical areas. Additionally, we find a small number of subpopulations of neuroepithelial cells and identify several key pathways that may regulate the switch from neuroepithelia to radial glia identity. Together, these datasets suggest a model of both area restricted progenitor populations as well as radial glia cell types that are observed across cortical regions, suggesting an orchestrated interplay of fate determination that gives rise to the required cell diversity of the human cerebral cortex.",data collection project,,"Dataset: Aparna Bhaduri, Neel Parikshak, Li Wang, Arnold Kriegstein (2021) Single-Cell Sequencing of the Developing Human Brain: 10x 3' v3 sequencing [Dataset]. Available from https://assets.nemoarchive.org/dat-qf43d3z. | Dataset: Aparna Bhaduri , Neel Parikshak, Li Wang, Arnold Kriegstein (2021) Single-Cell Sequencing of the Developing Human Brain: 10x 3' v2 sequencing [Dataset]. Available from https://assets.nemoarchive.org/dat-t4xnmho.",
kriegstein_sc_ATACseq_proj,Single-Cell ATAC-seq of the Developing Human Brain,Single cell ATAC-seq,"Dynamic changes in chromatin accessibility coincide with important aspects of neuronal differentiation, such as fate specification and arealization and confer cell type-specific associations to neurodevelopmental disorders. However, studies of the epigenomic landscape of the developing human brain have yet to be performed at single-cell resolution. Here, we profiled chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq). We identified thousands of loci that undergo extensive cell type-specific changes in accessibility during corticogenesis. Chromatin state profiling also reveals novel distinctions between neural progenitor cells from different cortical areas not seen in transcriptomic profiles and suggests a role for retinoic acid signaling in cortical arealization. Comparison of the cell type-specific chromatin landscape of cerebral organoids to primary developing cortex found that organoids establish broad cell type-specific enhancer accessibility patterns similar to the developing cortex, but lack many putative regulatory elements identified in homologous primary cell types. Together, our results reveal the important contribution of chromatin state to the emerging patterns of cell type diversity and cell fate specification and provide a blueprint for evaluating the fidelity and robustness of cerebral organoids as a model for cortical development.",data collection project,,"Dataset: Tomasz Nowakowski, Ryan Ziffra, Seth Ament (2022) Single Cell Epigenomic Atlas of the Developing Human Cortex [Dataset]. Available from https://assets.nemoarchive.org/dat-gnot1gb.",
kriegstein_sc_multiome_proj,Single-Cell Multi-Omic Analysis of the Developing Human Brain,Single-Cell Multi-Omic Analysis of the Developing Human Brain,"To understand the genetic and epigenetic programs that control human cortex development, we simultaneously profiled the gene expression and chromatin accessibility from the same cell using the 10x Single-Cell Multiome assay in multiple human cerebral cortical areas from the first trimester to the late childhood stage. Areas analyzed include the prefrontal cortex, the Broca's area, the Wernicke's area, the primary motor cortex, and the primary visual cortex. These data could be used to infer the gene regulatory networks that control cellular differentiation in individual cell types and lineages.",data collection project,,,
kriegstein_sn_10x_proj,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,10x 3' v2 sequencing,"Human cortical development spans years of prenatal and postnatal development. This incredibly complex process involves multiple interacting cell lineages and dynamic processes, such as neurogenesis and gliogenesis, neuronal migration, cell differentiation, areal specification, axon outgrowth and synapse formation and maturation. Human cortical development proceeds through a number of critical stages that are believed to be affected in neurodevelopmental and psychiatric diseases, such as autism spectrum disorder and schizophrenia. In order to investigate the dynamic landscape of human cortical development at the single-cell resolution, we utilized single-nucleus RNA sequencing (snRNA-seq) to profile more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas. We included samples ranging from second and third trimesters of prenatal development though neonatal and early postnatal stages to teenage and early adult years. By using unbiased nuclei isolation coupled with droplet-based single-cell profiling (10x Genomics), we generated over 300,000 single-nucleus transcriptomics profiles. We performed unbiased clustering, marker discovery and trajectory analysis, and were able to discover gene expression programs that underlie generation of subtypes of cortical projection neurons, interneurons and glial cell types, as well as critical process of development, such as generation of astrocytes, axon outgrowth, synapse formation and formation of mature cortical neuronal circuits. By intersecting cell type-specific developmental gene expression profiles with known genetic risk factors of neurodevelopmental disorders, we were able to identify cell types and developmental stages that can be especially affected in autism spectrum disorder and schizophrenia, leading to improper formation and function of specific cortical circuits. Our study sheds light on cell type-specific mechanisms of normal cortical development and cell types and processes affected in common neurodevelopmental disease. In addition, our rich single-nucleus transcriptomic atlas will be of great value to a wide range of neuroscientists.",data collection project,,"Dataset:  Dmitry Velmeshev, Arnold Kriegstein (2021) Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life [Dataset]. Available from https://assets.nemoarchive.org/dat-b3brzfa.",
kriegstein_spatial_proj,Spatial Transcriptomic Analysis of the Developing Human Brain,Spatial Transcriptomic Analysis of the Developing Human Brain,"To generate a spatiptemporal atlas of individual cell types and major neuronal lineages in the developing human cerebral coertex, we performed spatial transcriptomic analysis using MERFISH and osmFISH technologies in multiple human cortical areas from the second trimester to adult. Areas analyzed include the prefrontal cortex, the temporal cortex, and the cingulate cortex. These data allow precise quantification of molecularly defined cell types as well as mapping their spatial distributions in a tissue context.",data collection project,,,
lein_evo_10x_proj,Cell type diversity in primary motor cortex across mammalian evolution,Cross-species M1,10x v3 snRNA-seq data from primary motor cortex of multiple mammalian species,data collection project,,,
lein_evo_Iso_Seq_proj,Cell type diversity in primary motor cortex across mammalian evolution,Cross-species M1,Iso-Seq data from brain tissues of multiple mammalian species,data collection project,,Dataset: Allen Institute for Brain Science (2022). Cross-species Iso-Seq of mammalian M1 [dataset].,
lein_great_ape_mtg_RNA_proj,Cell type diversity in the middle temporal gyrus (MTG) of neocortex across human and non-human primates,Great ape MTG,"snRNA-seq data (10x v3 and SMART-seq v4) from the middle temporal gyrus (MTG) region of neocortex of human, chimpanzee, gorilla, rhesus macaque, and common marmoset",data collection project,,,
lein_human_pseq_proj,Human neocortical patch-seq,Human patch-seq,"Human neocortical neurons display diverse morphology, physiology and gene expression profiles. We use a method called Patch-seq, where these three data modalities are assayed simultaneously from the same neuron, to understand how the genetic profile of human neocortical neuron types corresponds to their morphological and electrophysiological phenotypes.",data collection project,,,
lein_L5_pseq_proj,Multimodal analysis of human layer 5 pyramidal neurons,Human L5 pyramids,"Layer 5 pyramidal neurons can be grouped into two broad classes - those with axonal projections restricted within the telencephelon (intratelencephalic) and those with axons both within and outside of the telencephelon (extratelecephalic). We leveraged the transcriptomic definition of cell types to identify and study the properties of these long-range projection neurons in human neocortical brain slices. To this end we utilized patch-seq recordings, where transcriptome, morphology and physiology were quantified from the same cell. Extratelencephalic neurons had distintive morpho-electric properties including a prominent apical tuft, various suprathreshold and subthreshold signatures and robust dendritic electrogenesis.",data collection project,,,
lein_sn_10x,Transcriptomic characterization of cell types in human brain: 10x nuclei v2 and v3,10x 3' v2 and v3 sequencing,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord,data collection project,,,
lein_sn_hippocampus_proj,Transcriptomic cell type characterization in human hippocampus,Human hippocampus,"Single nucleus RNA-seq data from human hippocampus.  This project currently contains 10,708 nuclei (unfiltered for quality and unclustered) collected using SMART-seq v4 from three young adult donors, and is open-access.",data collection project,,Dataset: Allen Institute for Brain Science (2022). Single nucleus RNA-seq of human hippocampus [dataset]. Available from https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/SSv4/human/raw/.,
lein_sn_SSv4_proj,Transcriptomic characterization of cell types in human brain: SMART-seq v4,SMART-seq v4,Deep transcriptomic analysis of hippocampus and dorsolateral prefrontal cortex,data collection project,,,
macosko_bg_multiome_proj,A 10X Multiome atlas of the primate and human basal ganglia,A 10X Multiome atlas of the primate and human basal ganglia,Single nuclei and ATAC sequencing of primate and human basal ganglia,data collection project,,,
macosko_bg_shareseq_proj,A SHARE-seq atlas of the primate and human basal ganglia,A SHARE-seq atlas of the primate and human basal ganglia,Multimodal analysis of primate and human basal ganglia,data collection project,,,
macosko_bg_slideseq_proj,A Slide-seq atlas of the primate and human basal ganglia,A Slide-seq atlas of the primate and human basal ganglia,Spatial transcriptomics analysis of primate and human basal ganglia,data collection project,,,
macosko_bg_wgs_proj,Whole genome sequencing of the human basal ganglia,Whole genome sequencing of the human basal ganglia,"Whole genome sequencing of human brain tissue aligned to hg38 reference sequence. Samples were sequenced at the Broad Institute's Genomics Platform utilizing custom Broad indices (IDT) and Kapa Biosciences HyperPrep library constuction kit, sequencing on NovaSeq platform.",data collection project,,,
macosko_mouse_slideseq_proj,A high-resolution molecular and lineage atlas of the mouse brain using Slide-seq,Macosko Mouse Slideseq,Slide-seq on 132 full coronal sections of mouse brain and select spatial lineage tracing analysis.,data collection project,,,
mop_evo_tx_epi_pseq_proj,Cross species M1 L5 ET comparison,Cross species,"We leveraged the consensus, cross-species transcriptomic classification of cell types to compare the morpho-electric properties of layer 5 corticospinal (Betz cells in primates) in mouse, macaque and human motor cortex. Using Patch-seq, where transcriptome, physiology and morphology were assayed from the same cells, we identified several primate specific specializations in corticospinal neuron physiology/morphology.",data collection project,,,
mueller_mouselight_proj,"Accessible technologies for high-throughput, whole-brain reconstructions of molecularly characterized mammalian neurons",Mouselight neuron segmentation,"Data were generated as described in Winnubst et al. (2019 Cell 179, 268-281.e13. doi: 10.1016/j.cell.2019.07.042. In brief, mice were injected with AAV vectors to sparsely express a fluorescence protein in neurons to brightly label their axonal projections. Whole brains were harvested, optically cleared, and imaged with an automated two-photon block-face imaging microscope at diffraction-limited resolution. The entire brain was imaged as a series of partially overlapping image stacks. Image stacks were stitched into a single volume with a non-rigid transform calculated from matching features within overlapping regions.",data collection project,,,
nowakowski_evobc_proj,Mapping Developmental Lineage Relationships in the Cerebral Cortex,Developmental Lineage,"This dataset contains data about the lineage history of cortical cells in the mouse. There are two primary modalities of tracing lineage history - static barcodes, which are delivered by a lentivirus injected in utero, and evolvable barcodes, which are genetically encoded and are theoretically present in all cells. Mouse brains are dissected at varying postnatal ages and dissociated to single cells, then processed with 10x v3 chemistry and sequenced.",data collection project,,,
nowakowski_pndev_10xv3_proj,Postnatal development mouse brain atlas,PNdev mouse brain atlas,"This dataset is part of an effort to generate a cell type atlas of the early postnatal mouse brain. Samples are taken at varying ages, sliced, dissected into specific regions, and dissociated to single cells to process transcriptomic information with 10X v3 chemistry.",data collection project,,"Dataset: Tomasz Nowakowski, Matthew Keefe (2021) Postnatal development mouse brain data [Dataset]. Available from https://assets.nemoarchive.org/dat-eojj32d.",
osten_ls_proj,Collaboratory for atlasing cell type anatomy in the female and male mouse brain,Quantify and atlas the brainwide morphologies of molecularly defined cell types,Generate a comprehensive structural brain atlas of somatodendritic cell-type morphologies across all CCF anatomical areas in the female and male brain.,data collection project,,,
osten_stpt_proj,Whole Brain Quantitative Cell-Type Atlasing in Adult Male and Female Mouse.,Serial two photon tomography,"The stereotyped distribution of brain cell types, their numbers and ratios in all anatomical regions, is a fundamental determinant of brain functions, yet classical stereological methods have been too laborious to allow comprehensive analyses across animals and genders. Here we apply our quantitative brainwide (qBrain) cell-type mapping platform, comprising cell-type labeling, single-cell resolution imaging by serial two-photon tomography (STPT), and automated computational analyses, to map the stereotyped distributions of over thirty neuronal and glia cell types in male and female mouse brain. We discover detailed organizing principles underlying known functions of sensory, motor and cognitive cortical circuitries, as well as over a dozen of sex-dimorphic cell-type distributions primarily in brain structures of the vomeronasal system regulating reproductive and social behaviors. The qBrain atlas provides a unique anatomical resource that can be mined to link stereotyped aspects of neuronal distributions to known and unknown functions of diverse brain areas. ",data collection project,,,
regev_cisi_proj,Scaling up spatial RNA profiling with compressed sensing,Spatial RNA compressed sensing,Composite In Situ Imaging of 37 genes with 11 composite measurements and validation images in 12 coronal sections of bisected mouse brain.,data collection project,,,
ren_pairedtag_proj,Ultra-high Throughout Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Mouse and Human Brains,Mammalian brain Paired-Tag,"Histone modification carries rich epigenetic information that constitutes a mechanism of cellular memory. Single cell analysis of histone modification in conjunction with transcriptome could help uncover this critical layer of cellular memory and lead to better definition of cell types and states in the brain. We used an ultra-high throughput method, known as Paired-Tag, to generate three large-scale single cell atlases of gene expression and histone modification for (1) adult mouse brain, (2) mouse brain across multiple developmental stages, and (3) adult human brain. Collectively, these data enable comprehensive analysis of chromatin state and gene regulation in the mammalian brain and detailed characterization of gene regulatory networks in different brain cell types.",data collection project,,,
roussos_multiome_proj,A regulome and transcriptome atlas of fetal and adult human neurogenesis,Multiome atlas of dentate gyrus,"The overarching goal of our proposal is to optimize and accelerate the use of scalable technologies and to perform unbiased, multimodal single-nucleus omics-based assessment of gene expression and accessibility combined with spatial transcriptomics profiling on tissue sections of human dentate gyrus. In this study, we will utilize tissue dissections of the human dentate gyrus from 24 donors to perform single nucleus multiome (RNAseq and ATACseq) analysis and spatial transcriptomics using seqFISH+. This study will provide scalable technologies for multimodal and spatial omics profiling and a human cell atlas of cell type diversity in the dentate gyrus , which will serve as a blueprint for studies of human hippocampal neurogenesis, selective vulnerability of cell types in disease, and the features of brain evolution that differentiates humans from other species.",data collection project,,,
sestan_sn_10x_proj,"Developmental cell census of human, non-human primate and pig brain","Human, NHP and pig celltypes","Single nucleus multiome data (ATAC + Gene expression) and single cell/nucleus transcriptomics data to define cell types and states in multiple brain regions of human, rhesus macaque , chimpanzee, common marmoset and pig.",data collection project,,,
shepherd_rnafish_proj,Human olfactory system - TempO-seq,Human olfactory bulb,TempO-Seq targeted whole transcriptome sequencing of human olfactory bulb and tract.,data collection project,,,
snyder-mackler_macaque_proj,Single cell transcriptional and epigenomic atlas of the rhesus macaque brain,Single cell transcriptional and epigenomic atlas of the rhesus macaque brain,"We are generating an anatomically resolved, single cell atlas of the epigenome (5.5 million cells) and transcriptome (11 million cells) of the rhesus macaque brain. We use two recently developed methods that rely on combinatorial indexing to cost-effectively profile the epigenomes (sci-ATAC-seq) and transcriptomes (sci-RNA-seq) of large numbers of cells. The first aim of the project is to generate high resolution, single cell epigenetic and transcriptional atlases of one male and one female rhesus macaque brain by profiling chromatin accessibility in 750,000 nuclei (sci-ATAC-seq) and transcription in 1,500,000 nuclei (sci-RNA-seq) from each of two macaque brains (for a total of 4.5 million cells). These will be obtained from at least 25 anatomically dissected brain regions (30,000 sci-ATAC-seq and 60,000 sci-RNA-seq profiles per region per brain). In the second phase of the project, we are extending these atlases to span the primate lifespan by performing single cell epigenetic and transcriptional profiling of the brains of 50 additional rhesus macaques (25 regions per brain; 3,200 sci-ATAC-seq and 6,400 sci-RNA-seq profiles per individual/region, for a total of 12 million molecularly profiled cells). This large sample size will characterize natural variation in chromatin accessibility and transcription within each cell type, between individuals, sexes, and across the natural lifespan of rhesus macaques. At 16.5 million cells at the end of this project, this rhesus macaque brain atlas will also comprise the largest transcriptional and epigenomic single cell dataset of any primate organ to date. It is therefore  an essential resource, complementary to other efforts, for identifying the distribution and function of key cell types across the primate brain, allowing for the development of cell type- and region-specific molecular interventions that will help to understand brain function and the etiology, and potentially the treatment, of brain disorders.",data collection project,,,
tasic_ATACseq_proj,Chromatin accessibility data from mouse V1,ATACseq,Chromatin accessibility data was collected from individual cells in mouse V1 and clustered with single cell data to identify enhancers specific for cell classes and subclasses.,data collection project,,"Dataset: Cindy van Velthoven, Megan Chiang, Lucas Graybuck, Marcus Hooper, Adriana Sedeno-Cortes, Bosiljka Tasic (2020) Chromatin accessibility data from mouse V1 [Dataset]. Available from https://assets.nemoarchive.org/dat-khcsjuk.",
tasic_sc_SSv4_proj,Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination,SMART-seq cells,Cell type-specific regulatory elements were incorporated into AAV viruses and delivered into the brains of reporter mice. To characterize the cell type-specificty of the enhancers reporter mice were injected the AAV. Virus-infected cells were isolated from the brain by fluorescence activated sorting of cells was performed based on expression of fluorescent reporter labels and sorted into into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes.,data collection project,,,
tasic_stpt_proj,Brain-wide labeling patterns of enhancer viruses,STPT,"Cell type-specific regulatory elements identified, AAV viruses were generated and delivered into the brains of reporter mice.  Virus-infected brains were imaged on a Tissuecyte 2P tomography system to characterize labeling patterns brain-wide.",data collection project,,,
tilgner_scisorseq,A compendium of cell-type specific isoform expression patterns across spatial and developmental axes.,Single cell isoform expression in the mouse brain,"This dataset is a combination of short and long-read approaches applied to single-cell RNA sequencing libraries. This allows for a microfluidic based high throughput analysis of single cells in brain tissue while leveraging the power of long read sequencing to acquire full-length isoforms per single cell. Single-cell cDNA libraries for 5 brain regions in the adult mouse brain, and 2 brain regions across multiple developmental timepoints have been generated for two replicates of each sample. The fragmented cDNA is then sequenced using Illumina to obtain short read sequencing data, and the unfragmented cDNA is sequenced once each on Pacific Biosciences and Oxford Nanopore platforms to obtain long read sequencing data for those same original libraries.",data collection project,,,
TransgenicSTPT,Transgenic Characterization - serial two-photon tomography,Transgenic STPT,"Transgene expression was used to label cell types and brain regions in mouse brain, and these transgenes were characterized using serial two-photon tomography to create 3D volumes. These data were used in conjunction with other multimodal reference data to parcellate the entire mouse brain into anatomic regions in order to create the Allen Mouse Brain Common Coordinate Framework (CCFv3), an annotated 3D reference space with 10µm voxel resolution.",data collection project,,Allen Institute for Brain Science (2018). Transgenic characterization - serial two-photon tomography [dataset]. Available from: https://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,
yang_MORF_confocal_proj,Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons,Dendritome mapping,"Integrating molecular, morphological, and connectomic properties is critical for unbiased classification of neuronal cell types in the mammalian brain. Here we propose a novel approach to classify neuronal cell types by brainwide comprehensive profiling of the dendritic morphology of genetically-defined neurons in the mouse brain. We have developed an innovative mouse genetic tool, called Mosaicism with Repeat Frameshift (or MORF), which enables sparsely and stochastically labeling of genetically-defined neurons in mice. MORF reporter mice can label in exquisite detail single neurons from dendrite and spines to axons and axonal terminals at a labeling frequency of 1-5% of a given neuronal population. We propose to cross our new MORF lines with Cre mouse lines for striatal medium spiny neurons (MSNs) of direct- and indirect pathways, and for cortical pyramidal neurons of distinct cortical layers (i.e. L2/3/4, L5 and L6). Each MORF/Cre mouse will allow us to image the detailed dendritic morphology for thousands of genetically-defined striatal and cortical neurons (i.e. dendritome). We have also developed and streamlined imaging and computational tools to acquire and register brainwide single neuron morphological data onto a standard reference mouse brain atlas. We will digitally reconstruct hundreds of thousands of MORF-labeled neurons using our novel program called G-Cut. Reconstructed neurons will subsequently used for morphology based clustering to define new morphological subtypes, which in turn can be analyzed for the expression of novel molecular markers neuronal cell types (e.g. from single cell RNA-sequencing).  Finally, we will disseminate the data to the Brain Cell Data Center (BCDC) for data integration with those from other BRAIN Initiative Cell Census Network (BICCN) and for data access by the broader neuroscience research community. ",data collection project,,,
zeng_anderson_sc_10xv2_proj,Transcriptomic cell types of ventromedial hypothalamus in the mouse: 10x cells,10x 3' v2 sequencing,"The ventrolateral subdivision of the ventromedial hypothalamus (VMHvl) contains ~4,000 neurons that project to multiple targets and control innate social behaviors including aggression and mounting. However, the number of cell types in VMHvl and their relationship to connectivity and behavioral function are unknown. We performed single-cell RNA sequencing using two independent platforms-SMART-seq(~4,500 neurons) and 10x (~78,000 neurons)-and investigated correspondence between transcriptomic identity and axonal projections (Retro-seq for SMART-seq) or behavioral activation (Act-seq for 10x), respectively. Canonical correlation analysis identified 17 transcriptomic types (T-types), including several sexually dimorphic clusters, the majority of which were validated by seqFISH. Immediate early gene analysis from our Act-seq dataset identified T-types exhibiting preferential responses to intruder males versus females but only rare examples of behavior-specific activation.",data collection project,,"Primary publication: Kim, D.W., et al. (2019). Multimodal Analysis of Cell Types in a Hypothalamic Node Controlling Social Behavior. Cell. 179(3):713-728.e17. doi: 10.1016/j.cell.2019.09.020.",
zeng_anderson_sc_10xv3_proj,Transcriptomic cell types of ventromedial hypothalamus in female mouse: 10x cells,Cell types in VMHvl of female mouse: 10x cells,"The ventrolateral subdivision of the ventromedial hypothalamus (VMHvl) is essential for innate social behaviors including aggression and mating in female mice at different reproductive states. However, the female VMHvl transcriptomes in different reproductive states and their behavioral functions are unknown. We performed single-cell RNA 10x sequencing and investigated correspondence between transcriptomic identity in different reproductive states and their activation following social behaviors. Immediate early gene analysis from our Act-seq dataset identified that distinct T-types function in female aggression and mating behaviors.",data collection project,,"Dataset: Mengyu Liu, David J. Anderson (2022) 10x 3' v3 sequencing in VMHvl in female mouse [Dataset]. Available from: https://assets.nemoarchive.org/dat-zdzpfd7.",
