Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Anatomical Structure (CV)
GW16-2-12-20_LGE,human,NCBI:txid9691,,,transcriptomics,10x Chromium 3' v2 sequencing,lateral ganglionic eminence,nuclei,67694,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW16-2-12-20_MGE,human,NCBI:txid9692,,,transcriptomics,10x Chromium 3' v2 sequencing,medial ganglionic eminence,nuclei,131979,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW16-2-2-20_PFC,human,NCBI:txid9693,,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,57673,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW16-2-2-20_temp,human,NCBI:txid9694,,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,58847,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_CGE,human,NCBI:txid9695,,,transcriptomics,10x Chromium 3' v2 sequencing,caudal ganglionic eminence,nuclei,150582,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_cing,human,NCBI:txid9696,,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,59558,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_LGE,human,NCBI:txid9697,,,transcriptomics,10x Chromium 3' v2 sequencing,lateral ganglionic eminence,nuclei,68172,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_MGE,human,NCBI:txid9698,,,transcriptomics,10x Chromium 3' v2 sequencing,medial ganglionic eminence,nuclei,138106,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_PFC,human,NCBI:txid9699,,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,56192,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-6-14-19_temp,human,NCBI:txid9700,,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,59328,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW18-CGE-3-22-17,human,NCBI:txid9701,GW18-3-22-17,,transcriptomics,10x Chromium 3' v2 sequencing,caudal ganglionic eminence,nuclei,1398,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Caudal ganglionic eminence,2019Q2,,CGE
GW18-LGE-3-22-17,human,NCBI:txid9702,GW18-3-22-17,,transcriptomics,10x Chromium 3' v2 sequencing,lateral ganglionic eminence,nuclei,18481,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Lateral ganglionic eminence,2019Q2,,LGE
GW18-MGE-3-22-17,human,NCBI:txid9703,GW18-3-22-17,,transcriptomics,10x Chromium 3' v2 sequencing,medial ganglionic eminence,nuclei,2085,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Medial ganglionic eminence,2019Q2,,MGE
GW19-1-17-20_GE,human,NCBI:txid9704,,,transcriptomics,10x Chromium 3' v2 sequencing,ganglionic eminence,nuclei,46300,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
GW20-ACC-12-7-18,human,NCBI:txid9705,GW20-12-7-18,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,6103,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q2,,CgGr
GW20-cing-11-28-18,human,NCBI:txid9706,GW20-11-28-18,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,2426,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q2,,CgGr
GW20-PFC-11-28-18,human,NCBI:txid9707,GW20-11-28-18,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,6133,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q2,,PFC
GW20-PFC-12-7-18,human,NCBI:txid9708,GW20-12-7-18,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,33199,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q2,,PFC
GW20-temp-11-28-18,human,NCBI:txid9709,GW20-11-28-18,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,306,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q2,,TCx
GW25-PFC-11-17-17,human,NCBI:txid9710,GW25-11-17-17,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1991,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q2,,PFC
GW27-cing-2-7-18,human,NCBI:txid9711,GW27-2-7-18,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,373,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q2,,CgGr
GW27-PFC-2-7-18,human,NCBI:txid9712,GW27-2-7-18,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,670,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q2,,PFC
GW27-STG-2-7-18,human,NCBI:txid9606,GW27-2-7-18,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,860,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q2,,TCx
GW30-cing-11-6-18,human,NCBI:txid9606,GW30-11-6-18,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,6063,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q2,,CgGr
GW30-PFC-11-6-18,human,NCBI:txid9606,GW30-11-6-18,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,2031,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q2,,PFC
GW30-temp-11-6-18,human,NCBI:txid9606,GW30-11-6-18,,transcriptomics,10x Chromium 3' v2 sequencing,TCx,nuclei,1714,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q2,,TCx
SM10-C23,human,NCBI:txid9606,SM10-C23,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,1378,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
SM11-C22,human,NCBI:txid9606,SM11-C22,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,2411,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
SM12-C20,human,NCBI:txid9606,SM12-C20,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,636,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
SM4-C20,human,NCBI:txid9606,SM4-C20,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,1488,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
SM5-C19,human,NCBI:txid9606,SM5-C19,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,33339,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
SM6-C19,human,NCBI:txid9606,SM6-C19,,transcriptomics,10x Chromium 3' v2 sequencing,NCx,nuclei,3252,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cerebral cortex,2018Q4,,Cx
