Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Mukamel lab notes,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),is_duplicate
CEMBA190314_12B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp;VISl;VISli,nuclei,12518,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISp;VISl;VISli,
CEMBA190325_11B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp;VISI,nuclei,11357,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISp;VISI,
CEMBA190325_12B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp;VISl;VISli,nuclei,12110,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISp;VISl;VISli,
CEMBA190326_9B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISam;VISa;VISd,nuclei,12461,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISam;VISa;VISd,
CEMBA190326_9D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDp;AUDv,nuclei,12588,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,AUDp;AUDv,
CEMBA190404_9B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISam;VISa;VISd,nuclei,12312,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISam;VISa;VISd,
CEMBA190404_9D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDp;AUDv,nuclei,12589,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,AUDp;AUDv,
CEMBA190411_10C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDd;AUDpo;AUDp;AUDv,nuclei,12741,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,(AUDd;AUDpo;AUDp;AUDv),
CEMBA190411_9A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,12490,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,RSP,
CEMBA190418_10C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDd;AUDpo;AUDp;AUDv,nuclei,12274,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,(AUDd;AUDpo;AUDp;AUDv),
CEMBA190418_9A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,12249,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,RSP,
CEMBA190423_10A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,12091,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,RSP,
CEMBA190423_10G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LP;SGN;LGd;PoT;SPFp;LGv,nuclei,12342,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q3,,,,TH (LP;SGN;LGd;PoT;SPFp;LGv),
CEMBA190523_10A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,12046,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,RSP,
CEMBA190523_10G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LP;SGN;LGd;PoT;SPFp;LGv,nuclei,12139,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q3,,,,TH (LP;SGN;LGd;PoT;SPFp;LGv),
CEMBA190530_11C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDpo;AUDv,nuclei,11906,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,AUDpo;AUDv,
CEMBA190530_9C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp;SSs,nuclei,12031,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,SSp;SSs,
CEMBA190620_11C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AUDpo;AUDv,nuclei,12563,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,AUDpo;AUDv,
CEMBA190620_9C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp;SSs,nuclei,12596,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,SSp;SSs,
CEMBA190625_10E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12702,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,vHPF (CA1-CA3),
CEMBA190625_10F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12823,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,vHPF (DG),
CEMBA190627_10E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12542,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,vHPF (CA1-CA3),
CEMBA190627_10F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12741,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q4,,,,vHPF (DG),
CEMBA190702_7G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LD;MD;AMd,nuclei,12752,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,TH (LD+MD+AMd),
CEMBA190709_7G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LD;MD;AMd,nuclei,12734,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,TH (LD+MD+AMd),
CEMBA190711_8E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,11244,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,HPF (CA1-CA3),
CEMBA190711_8J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,11354,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,HPF(DG),
CEMBA190716_8E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12325,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,HPF (CA1-CA3),
CEMBA190716_8J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12869,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,HPF(DG),
CEMBA190718_6E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,12213,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,,
CEMBA190718_8F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RT;VPM;VM;VAL,nuclei,11942,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,TH (RT+VPM+VM+VAL),
CEMBA190723_6E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,11229,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,,
CEMBA190723_8F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RT;VPM;VM;VAL,nuclei,10922,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,TH (RT+VPM+VM+VAL),
CEMBA190725_10B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISam;VISpm;VISp;VISrl;VISal,nuclei,12394,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,(VISam+VISpm+VISp+VISrl+VISal),
CEMBA190730_10B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISam;VISpm;VISp;VISrl;VISal,nuclei,12306,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q1,Dates pushed back to align with R24 upload schedule,fixed duplicates - removed Q1 and replaced with Q2 numbers,,(VISam+VISpm+VISp+VISrl+VISal),
CEMBA190725_13A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp+VISl+VISpor,nuclei,"11,088",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA190730_13A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp+VISl+VISpor,nuclei,"12,309",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191008_7A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,580",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191008_12A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,420",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191017_7A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,326",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191017_12A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,289",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191024_11D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ENTl,nuclei,"12,364",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191024_12D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ENTl,nuclei,"12,533",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191031_11D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ENTl,nuclei,"11,575",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191031_12D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ENTl,nuclei,"12,366",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191107_8A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,748",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191114_8A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"11,863",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q2,Dates pushed back to align with R24 upload schedule,,,,
CEMBA191114_11A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"11,889",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA191107_11A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,RSP,nuclei,"12,807",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA191205_7C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,"12,924",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA191205_8C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,"12,976",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA191212_7C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,"12,353",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA191212_8C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,"12,646",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200305_7J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (PVH+LHA+AHN+RCH),nuclei,"12,482",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200312_6H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY,nuclei,"12,646",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200312_8K,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (DMH+LHA+VMH),nuclei,"12,749",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200319_6H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY,nuclei,"12,306",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200319_8K,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (DMH+LHA+VMH),nuclei,"12,313",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200520_7J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (PVH+LHA+AHN+RCH),nuclei,"12,253",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q3,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200305_9L,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (PH+PSTN+LHA+PM+ARH),nuclei,"12,938",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200520_9L,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,HY (PH+PSTN+LHA+PM+ARH),nuclei,"12,437",Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA20200707_8D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12694,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA20200707_9E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12233,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200709_8D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12158,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200709_9E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12309,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200714_6G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,12690,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA200714_7D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12757,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA20200721_6G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,12361,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
CEMBA20200721_7D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12253,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2020Q4,"Added February 2021 - Ethan Armand, Eran Mukamel",,,,
