project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
zhangl_seqfish_proj,Cell Atlas of Mouse Brain-Spinal Cord Connectome using seqFISH,Spinal cord connectome seqFish,Deep transcriptomic analysis of the mouse spinal cord.,data collection project,,,
ecker_hu_DNAseq_proj,DNA genome sequence of  individual human brain donors,DNA sequencing,DNA genome sequence of  individual human brain donors,data collection project,,,
fischl_mri_proj,Multi-resolution structural and diffusion MRI for the ex vivo whole human hemisphere,MRI,Multi-resolution structural and diffusion MRI collected on ex vivo whole human hemispheres at field strengths of 3 T and 7 T. This dataset provides undistorted volumetric images of the human cerebral cortex to facilitate an MRI-based atlas coordinate system to which distorted histological cell typic can be registered.,data collection project,,,
fischl_oct_proj,Serial sectioning block-face polarization sensitive optical coherence tomography of ex vivo human brain blocks,OCT,Volumetric OCT data collected from ex vivo human brain area BA 44/45 after index matching with 60% v/v TDE. Serial sectioning was performed with a slice thickness of 500 um. Block-face OCT acquisition was performed with a 4x objective with 5 um isotropic resolution. Each image tile has FOV of 3x3 mm2 and was stitched with adjacent image tiles during post-processing. The focal plane depth was shifted three times for each slice to cover the whole thickness of the 500um slice.,data collection project,,,
tasic_ATACseq_proj,Chromatin accessibility data from mouse V1,ATACseq,Chromatin accessibility data was collected from individual cells in mouse V1 and clustered with single cell data to identify enhancers specific for cell classes and subclasses.,data collection project,,,
tasic_stpt_proj,Brain-wide labeling patterns of enhancer viruses,STPT,"Cell type-specific regulatory elements identified, AAV viruses were generated and delivered into the brains of reporter mice.  Virus-infected brains were imaged on a Tissuecyte 2P tomography system to characterize labeling patterns brain-wide.",data collection project,,,
zhangl_anatomy_proj,Cell Atlas of Mouse Brain-Spinal Cord Connectome using Light Sheet Microscopy,Brain-Spinal Cord Connectome - LSM,"We use a highly innovative and multidisciplinary approach to systematically characterize neuronal types in the spinal cord based on their anatomy, connectivity, morphologies, molecular identities, and electrophysiological properties.",data collection project,,,
human_cortex,Human Multiple Cortical Areas - SMART-seq,Human CTX SSv4,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia. NOTE: This project contains a mixture of datasets generated under different funding sources and associated with different access restrictions and licenses. Please refer to the description of the data collection to identify which license is applicable.",data collection project,,,
ecker_hu_sn_ATACseq_proj,Chromatin accessibility profiling in individual human brain nuclei,Chromatin single nucleus,Chromatin accessibility profiling in individual human brain nuclei,data collection project,,,
ecker_hu_sn_mCseq_proj,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,DNA methylation single cell,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,data collection project,,,
regev_cisi_proj,Scaling up spatial RNA profiling with compressed sensing,Spatial RNA compressed sensing,Composite In Situ Imaging of 37 genes with 11 composite measurements and validation images in 12 coronal sections of bisected mouse brain.,data collection project,,,
huang_fmost_proj,Single cell morphology fMOST imaging and cell reconstructions in the mouse brain,fMOST,Single cell morphology fMOST imaging and cell reconstructions in the mouse brain.,data collection project,,,
mueller_mouselight_proj,"Accessible technologies for high-throughput, whole-brain reconstructions of molecularly characterized mammalian neurons",Mouselight neuron segmentation,"Automated neuron segmentation in sparsely labeled, sub-micron resolution images of complete mammalian brains.",data collection project,,,
nowakowski_evobc_proj,Mapping Developmental Lineage Relationships in the Cerebral Cortex,Developmental Lineage,"This dataset contains data about the lineage history of cortical cells in the mouse. There are two primary modalities of tracing lineage history - static barcodes, which are delivered by a lentivirus injected in utero, and evolvable barcodes, which are genetically encoded and are theoretically present in all cells. Mouse brains are dissected at varying postnatal ages and dissociated to single cells, then processed with 10x v3 chemistry and sequenced.",data collection project,,,
