person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Wen Hu,Wen Hu,Wen,Hu,
Wendy Macklin,Wendy Macklin,Wendy,Macklin,0000-0002-1252-0607
William Ammon,William Ammon,William,Ammon,0000-0002-8952-979X
William J. Spain,William J. Spain,William J.,Spain,
William Romanow,William Romanow,William,Romanow,
Won Jung,Won Jung,Won,Jung,0000-0003-2810-5528
X. William Yang,X. William Yang,William,Yang,0000-0003-3705-7935
Xiangning Li,Xiangning Li,Xiangning,Li,0000-0002-3747-2824
Xiao-Ping Liu,Xiao-Ping Liu,Liu,Xiao-Ping,
Xiaomeng Hou,Xiaomeng Hou,Xiaomeng,Hou,
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
Xin Wang,Xin Wang,Xin,Wang,0000-0001-9546-6038
Xingfan Huang,Xingfan Huang,Xingfan,Huang,0000-0001-6280-9743
Xingjie Pan,Xingjie Pan,Xingjie,Pan,0000-0002-0060-4352
Xinxin Wang,Xinxin Wang,Xinxin,Wang,
Xinyi Wang,Xinyi Wang,Xinyi,Wang,
Xiuli Kuang,Xiuli Kuang,Xiuli,Kuang,0000-0001-7569-7605
Xuan Song,Xuan Song,Xuan,Song,
Yael Balbastre,Yael Balbastre,Yael,Balbastre,0000-0001-8758-9978
Yang Eric Li,Yang Eric Li,Yang Eric,Li,0000-0001-6997-6018
Yang Li,Yang Li,Yang,Li,0000-0001-6997-6018
Yi Zhang,Yi Zhang,Yi,Zhang,
Yida Zhang,Yida Zhang,Yida,Zhang,
Yimin Wang,Yimin Wang,Yimin,Wang,0009-0006-3582-3906
Yimin Zou,Yimin Zou,Yimin,Zou,
Yiming Zhang,Yiming Zhang,Yiming,Zhang,
Yongsoo Kim,Yongsoo Kim,Yongsoo,Kim,0000-0002-4277-0279
Yu Zhang,Yu Zhang,Yu,Zhang,
Yuanyuan Liu,Yuanyuan Liu,Yuanyuan,Liu,
Yuelai Wang,Yuelai Wang,Yuelai,Wang,0009-0005-5601-8829
Yun Wang,Yun Wang,Yun,Wang,
Yunjiang Qiu,Yunjiang Qiu,Yunjiang,Qiu,0000-0002-0539-9714
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,0000-0003-0592-028X
Zhaoning Wang,Zhaoning Wang,Zhaoning,Wang,0000-0002-0290-4746
Zhengzheng S. Liang,Zhengzheng S. Liang,Zhengzheng S.,Liang,0000-0002-3969-4199
Zhigang He,Zhigang He,Zhigang,He,
Zhiyun Yang,Zhiyun Yang,Zhiyun,Yang,
Zicong Zhang,Zicong Zhang,Zicong,Zhang,
Ziyang Zhang,Ziyang Zhang,Ziyang,Zhang,
Zizhen Yao,Zizhen Yao,Zizhen,Yao,0000-0002-9361-5607
Zongcai Ruan,Zongcai Ruan,Zongcai,Ruan,0000-0003-1547-165X
