Grant,Project,Collection,Archive URL,License,Collection short title,Collection title,Collection description,Project short title,Project title,Project description
U19 Ecker,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,CCBY4,Chromatin accessibility,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Single nucleus ATACseq chromatin accessibility data.,Chromatin accessibility,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2).,"The goal is to profile open chromatin at single cell resolution using snATAC-seq across >100 mouse brain regions. The resulting profiles will be used to both define cell types and generate comprehensive catalogs of regulatory elements for each cell type. The brains of adult male C57BL/6J mice (P56) were sliced into 18 ? 600 micron thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). Pooled nuclei were subjected to tagged Tn5 transposon insertion to identify accessible chromatin (snATAC-seq). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice."
U19 Huang,huang_stpt_count_proj,huang_stpt_count,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,CCBY4,Serial two photon tomography,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.,Serial two photon tomography,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.
U19 Huang,huang_pn_proj,huang_pn_sn_10xv2,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/sncell/10x_v2/mouse/,CCBY4,Single nucleus 10xv2,Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex,High-throughput single-nucleus RNA sequencing using 10x v2 of genetically labelled projection neuron (PN) populations of selected cortical regions.,Projection Neurons,Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex,"Our goal is to create a high-resolution atlas of projection neurons in the mouse cortex using large scale single cell transcriptomic analysis across cortical regions.  CRE-driver lines targeting major cortical projection neuron subtypes and crossed to the Sun1-GFP nuclear reporter mouse line (C57 background) were used.  Samples representiung different cortical regions were dissected at p56. Individual nuclei were dissociated, sorted based on GFP labeling, and processed for single nuclei RNA sequencing using 10X Chromium V2. All regions sampled were obtained from both brain hemispheres in male and female mice. "
U19 Huang,huang_pn_proj,huang_pn_bulk_SSv4,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/bulk/SSv4/mouse/,CCBY4,Bulk nuclei SSv4,Transcriptomic profiling of bulk sorted nuclei from cortical projection neurons,SMART-seq v4 sequencing from bulk nuclei sorted from fluorescently labeled cortical projection neurons.,Projection Neurons,Single nucleus transcriptomic profile of projection neuron subtypes in the mouse cortex,"Our goal is to create a high-resolution atlas of projection neurons in the mouse cortex using large scale single cell transcriptomic analysis across cortical regions.  CRE-driver lines targeting major cortical projection neuron subtypes and crossed to the Sun1-GFP nuclear reporter mouse line (C57 background) were used.  Samples representiung different cortical regions were dissected at p56. Individual nuclei were dissociated, sorted based on GFP labeling, and processed for single nuclei RNA sequencing using 10X Chromium V2. All regions sampled were obtained from both brain hemispheres in male and female mice. "
U19 Huang,huang_retro_proj,huang_retro,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,CCBY4,Quadruple retrograde,Quadruple retrograde pathway tracing,Fluorescent imaging of brain tissue sections labeled by 4 retrograde tracers with nissl counterstain.,Quadruple retrograde,Quadruple retrograde pathway tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, four retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details."
U19 Huang,huang_sn_10xv2_proj,huang_sn_10xv2,http://data.nemoarchive.org/biccn/grant/huang/macosko_regev/transcriptome/sncell/10X_v2/mouse/,CCBY4,Single nucleus 10xv2,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),Single nucleus profiling of cell types using 10X v2.,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),"Our goal is to create a high quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. C57 wild-type mice at p60 were used. Dissections of frozen tissue were performed to obtain regions including neocortex, isocotex,substantia nigra, bed nucleus of the stria terminalis, cerebellum and hippocampus. Nuclei were sorted based on fluorescent DAPI staining of dissociated singlet nuclei and processed for single cell RNA sequencing using 10X Chromium V2.   All regions sampled were obtained from both brain hemispheres in male and female mice. "
U19 Huang,huang_sn_10xv2_proj,huang_sn_10xv3,http://data.nemoarchive.org/biccn/grant/huang/macosko_regev/transcriptome/sncell/10X_v3/mouse/,CCBY4,Single nucleus 10xv3,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),Single nucleus profiling of cell types using 10X v3.,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),"Our goal is to create a high quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. C57 wild-type mice at p60 were used. Dissections of frozen tissue were performed to obtain regions including neocortex, isocotex,substantia nigra, bed nucleus of the stria terminalis, cerebellum and hippocampus. Nuclei were sorted based on fluorescent DAPI staining of dissociated singlet nuclei and processed for single cell RNA sequencing using 10X Chromium V2.   All regions sampled were obtained from both brain hemispheres in male and female mice. "
U19 Huang,huang_stpt_conn_proj,huang_stpt_conn,http://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,CCBY4,Anterograde tracing,Cre-dependent anterograde tracing in the forebrain,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.,Anterograde tracing,Cre-dependent anterograde tracing in the forebrain,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.
U19 Huang,huang_antero_proj,huang_antero,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,CCBY4,Anterograde tracing,Triple anterograde pathway tracing,Fluorescent imaging of brain tissue sections marked by anterograde tracer injections with nissl counterstain.,Anterograde tracing,Triple anterograde pathway tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Anterograde pathway tracers identify the output connections of injected regions by labeling axons, axon terminals, and boutons. Male C57BL wild type mice 8 weeks of age were used. In one experiment, three anterograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, the output of three different populations of neurons were traced simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details."
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_e,http://identifiers.org/DANDI:000008,CCBY4,Patch-seq Electrophysiology,Patch-seq of mouse motor cortex: electrophysiology,Patch-clamp electrophysiology recordings.,Patch-seq MOp,Patch-seq of mouse motor cortex: transcriptomics,"We used Patch-seq to combine patch-clamp recording, biocytin staining, and single-cell RNA sequencing of neurons in adult mouse motor cortex, providing a comprehensive morpho-electric annotation of almost all transcriptomically defined neural cell types."
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,http://data.nemoarchive.org/biccn/grant/zeng/tolias/,CCBY4,Patch-seq Transcriptomics,Patch-seq of mouse motor cortex: transcriptomics,Transcriptomics from patched cells.,Patch-seq MOp,Patch-seq of mouse motor cortex: transcriptomics,"We used Patch-seq to combine patch-clamp recording, biocytin staining, and single-cell RNA sequencing of neurons in adult mouse motor cortex, providing a comprehensive morpho-electric annotation of almost all transcriptomically defined neural cell types."
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_m,http://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,CCBY4,Patch-seq Morphology,Patch-seq of mouse motor cortex: morphology,Morphological reconstructions.,Patch-seq MOp,Patch-seq of mouse motor cortex: transcriptomics,"We used Patch-seq to combine patch-clamp recording, biocytin staining, and single-cell RNA sequencing of neurons in adult mouse motor cortex, providing a comprehensive morpho-electric annotation of almost all transcriptomically defined neural cell types."
U19 Zeng,zeng_sn_SSv4_proj,zeng_sn_SSv4,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,CCBY4,SMART-seq v4,Transcriptomic cell types in the mouse brain: SMART-seq nuclei,Single nucleus characterization in mouse brain using SMART-seq v4.,SMART-seq v4,Transcriptomic cell types in the mouse brain: SMART-seq nuclei,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Fine dissections of brain regions and layers were performed from both hemispheres of male and female mice. Nuclei were extracted from dissected tissues, and fluorescence activated sorting of nuclei was performed based on antibody labeling of NeuN protein to sort individual nuclei into separate wells. Isolated nuclei were processed for single nuclei RNA sequencing using SMARTer v4. This method enables tracking of dissection location and moderate gene detection per nucleus with accurate recovery of cell type proportions within (but not between) each tissue sample. This dataset surveys cells in the primary motor cortex (MOp) as well as regions where isolation of whole cells is difficult, or nuclear profiling is needed to establish cell type proportions."
U19 Zeng,TransgenicSTPT,zeng_expr_char,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,AIBSTOU,Serial two photon tomography,Transgene Expression Data By Serial Two Photon Tomography,Serial two photon tomography of specific transgenic lines to support CCF annotation.,Transgenic STPT,Transgenic Characterization - serial two-photon tomography,"Transgene expression was used to label cell types and brain regions in mouse brain, and these transgenes were characterized using serial two-photon tomography to create 3D volumes. These data were used in conjunction with other multimodal reference data to parcellate the entire mouse brain into anatomic regions in order to create the Allen Mouse Brain Common Coordinate Framework (CCFv3), an annotated 3D reference space with 10µm voxel resolution."
U19 Zeng,zeng_sn_10x_proj,zeng_sn_10xv2,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,CCBY4,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei,Single nucleus characterization in mouse brain using 10x 3' v2 sequencing.,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Coarse dissections of brain regions were performed and specimens were dissected from both hemispheres of male and female mice. Nuclei were extracted from dissected tissues, and fluorescence activated sorting of nuclei was performed based on antibody labeling of NeuN protein to obtains pools of nuclei enriched for neurons. These pools of nuclei were processed for single nucleus RNA sequencing using 10X Chromium v2, which isolated nuclei in droplets to assign individual nucleus barcodes. This method enables a rapid, large-scale survey of cell types in brain regions with accurate recovery of cell type proportions, but at low gene coverage per nucleus. This dataset surveys cells in the primary motor cortex (MOp) as well as regions where isolation of whole cells is difficult, or nuclear profiling is needed to establish cell type proportions."
U19 Zeng,zeng_sc_10x_proj,zeng_sc_10xv2,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,CCBY4; AIBSTOU,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x v2 cells,Single cell characterization in mouse brain using 10x 3' v2 sequencing.,10x 3' sequencing,Transcriptomic cell types in the mouse brain: 10x cells,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Transgenic or viral strategies were used to label specific cell populations in the brain with fluorescent reporters. Sample collection was biased to enable sampling of as many cell types as possible and reduce redundant cell type collection. Most of the cells in this dataset were collected using broad Cre-driver lines that labeled all neurons (Snap25-IRES2-Cre), all Glutamatergic cells (Slc17a7-IRES2-Cre), or all GABAergic cells (Slc32a1-IRES-Cre or Gad2-IRES-Cre). Cells from primary visual cortex (VISp) and anterior lateral motor cortex (ALM, a subset of secondary motor cortex, MOs) were collected from a broad set of transgenic driver and reporter combinations in addition to the broad lines specified above. Fine dissections of brain regions and cortical layers were performed and tracked throughout sample processing. Specimens were dissected from both hemispheres in both male and female mice. Fluorescence activated s+J10orting of cells was performed based on expression or absence of fluorescent reporter labels to isolate individual cells into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes. This dataset will survey all major regions of the mouse brain. Publication: Tasic, B. et al. Nature 563, 72;78 (2018)."
U19 Zeng,zeng_sc_10x_proj,zeng_sc_10xv3,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/raw/MOp_v3/,CCBY4; AIBSTOU,10x 3' v3 sequencing,Transcriptomic cell types in the mouse brain: 10x v3 cells,Single cell characterization in mouse brain using 10x 3' v3 sequencing.,10x 3' sequencing,Transcriptomic cell types in the mouse brain: 10x cells,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Transgenic or viral strategies were used to label specific cell populations in the brain with fluorescent reporters. Sample collection was biased to enable sampling of as many cell types as possible and reduce redundant cell type collection. Most of the cells in this dataset were collected using broad Cre-driver lines that labeled all neurons (Snap25-IRES2-Cre), all Glutamatergic cells (Slc17a7-IRES2-Cre), or all GABAergic cells (Slc32a1-IRES-Cre or Gad2-IRES-Cre). Cells from primary visual cortex (VISp) and anterior lateral motor cortex (ALM, a subset of secondary motor cortex, MOs) were collected from a broad set of transgenic driver and reporter combinations in addition to the broad lines specified above. Fine dissections of brain regions and cortical layers were performed and tracked throughout sample processing. Specimens were dissected from both hemispheres in both male and female mice. Fluorescence activated s+J10orting of cells was performed based on expression or absence of fluorescent reporter labels to isolate individual cells into separate tubes. Isolated cells were processed for single cell RNA sequencing using SMARTer v4. This method enables tracking of dissection location and high gene detection per cell to identify fine differences in gene expression and highly selective marker genes. This dataset will survey all major regions of the mouse brain. Publication: Tasic, B. et al. Nature 563, 72;78 (2018)."
U19 Zeng,zeng_retro_proj,zeng_retro,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,CCBY4; AIBSTOU,Retrograde trans-synaptic,Retrograde trans-synaptic imaging,Serial two photon tomography of brains labeled by retrograde trans-synaptic.,Retrograde trans-synaptic,Retrograde trans-synaptic imaging,"Neuronal classification and connectivity have been the key point to understand brain. Single cell full morphology provides precise information for projection, correlation between dendrite and axon topology and functions. However, how to produce large-scale 3D full morphology is a major challenge. We developed a strict leveled protocol combined with automatic and manual procedures to systematically guide the neuron reconstruction process with clear standards. We reconstructed more than 1000 neurons located in thalamus, striatum, claustrum, etc. based on our protocol. Reconstructions of thalamus are grouped to sensory relay nuclei like VP, LGN, MG, VL etc. and higher order nuclei like PO, RT, etc. Strikingly, multiple axon clusters of single neuron present layer specific projections and highlights the projection which have been overlooked in population level, like VPM projecting to secondary sensory cortex. Axonal branching patterns are with different characteristics from different nuclei, like Neurons located in Reticular nucleus display netting pattern. Importantly, soma location, dendritic structure and axonal projection could be tightly correlated for specific neurons like neurons located nearby border of PO and VPM. Also, single cell could supply more accurate intracellular connectivity compared to population level."
U19 Zeng,zeng_mouselight_proj,zeng_mouselight,http://download.brainimagelibrary.org/biccn/zeng/mouselight/,CCBY4,MouseLight,MouseLight imaging,MouseLight imaging.,MouseLight,MouseLight imaging,MouseLight imaging.
U19 Zeng,zeng_fmost_proj,zeng_fmost_cells,http://download.brainimagelibrary.org/b4/d4/b4d4211078a67217/,CCBY4; AIBSTOU,cell reconstructions,Full morphology single cell reconstructions in mouse whole brain fMOST images,Reconstructed neurons based on fMOST imaging.,fMOST,Full morphology in the mouse brain: fMOST,"Our goal is to create high voxel resolution whole mouse brain datasets with fluorescence micro-optical sectioning tomography (fMOST) imaging method for reconstructing whole morphology of specific individual neurons. Statement about this dataset: Transgenic or viral strategies were used to sparsely label specific neuron populations in the brain with fluorescent reporters. For whole-brain imaging, the intact brain was embedded in glycol methacrylate resin. By using the fMOST technology, each embedded brain can be imaged with 1 micron voxel. This complete strategy can acquire a three-dimensional image set that can identify dendritic, axons, and their terminals across the whole mouse brain. Scope of this dataset: The dataset will survey full neuronal morphologies of representative cell types in the whole brain regions."
U19 Zeng,zeng_fmost_proj,zeng_fmost,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,CCBY4; AIBSTOU,fMOST,Full morphology in the mouse brain fMOST,High voxel resolution whole mouse brain datasets with fluorescence micro-optical sectioning tomography (fMOST) imaging method.,fMOST,Full morphology in the mouse brain: fMOST,"Our goal is to create high voxel resolution whole mouse brain datasets with fluorescence micro-optical sectioning tomography (fMOST) imaging method for reconstructing whole morphology of specific individual neurons. Statement about this dataset: Transgenic or viral strategies were used to sparsely label specific neuron populations in the brain with fluorescent reporters. For whole-brain imaging, the intact brain was embedded in glycol methacrylate resin. By using the fMOST technology, each embedded brain can be imaged with 1 micron voxel. This complete strategy can acquire a three-dimensional image set that can identify dendritic, axons, and their terminals across the whole mouse brain. Scope of this dataset: The dataset will survey full neuronal morphologies of representative cell types in the whole brain regions."
U19 Zeng,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,CCBY4,10x 3' v2 sequencing,Transcriptomic cell types of ventromedial hypothalamus in the mouse: 10x cells,Single-cell RNA sequencing.,10x 3' v2 sequencing,Transcriptomic cell types of ventromedial hypothalamus in the mouse: 10x cells,"The ventrolateral subdivision of the ventromedial hypothalamus (VMHvl) contains ~4,000 neurons that project to multiple targets and control innate social behaviors including aggression and mounting. However, the number of cell types in VMHvl and their relationship to connectivity and behavioral function are unknown. We performed single-cell RNA sequencing using two independent platforms-SMART-seq(~4,500 neurons) and 10x (~78,000 neurons)-and investigated correspondence between transcriptomic identity and axonal projections (Retro-seq for SMART-seq) or behavioral activation (Act-seq for 10x), respectively. Canonical correlation analysis identified 17 transcriptomic types (T-types), including several sexually dimorphic clusters, the majority of which were validated by seqFISH. Immediate early gene analysis from our Act-seq dataset identified T-types exhibiting preferential responses to intruder males versus females but only rare examples of behavior-specific activation."
U19 Zeng,zeng_sn_10x_proj,zeng_sn_10xv3,http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/MOp_v3/,CCBY4,10x 3' v3 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei,Single nucleus characterization in mouse brain using 10x 3' v3 sequencing.,10x 3' v2 sequencing,Transcriptomic cell types in the mouse brain: 10x nuclei,"Our goal is to create a high-quality atlas of cell types in the mouse brain using large scale single cell transcriptomic analysis across the entire mouse brain. Coarse dissections of brain regions were performed and specimens were dissected from both hemispheres of male and female mice. Nuclei were extracted from dissected tissues, and fluorescence activated sorting of nuclei was performed based on antibody labeling of NeuN protein to obtains pools of nuclei enriched for neurons. These pools of nuclei were processed for single nucleus RNA sequencing using 10X Chromium v2, which isolated nuclei in droplets to assign individual nucleus barcodes. This method enables a rapid, large-scale survey of cell types in brain regions with accurate recovery of cell type proportions, but at low gene coverage per nucleus. This dataset surveys cells in the primary motor cortex (MOp) as well as regions where isolation of whole cells is difficult, or nuclear profiling is needed to establish cell type proportions."
U19 Zeng,zhuang_merfish_proj,zhuang_merfish,http://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,CCBY4,MERFISH,A molecularly defined and spatially resolved cell atlas using spatial transcriptomics,MERFISH spatial transcriptomic data.,MERFISH,A molecularly defined and spatially resolved cell atlas of the mouse primary motor cortex,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse primary motor cortex by multiplexed error-robust fluorescence in situ hybridization (MERFISH). ~300,000 cells and 258 genes were imaged."
